City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
25,Saint-Philippe,RE,2021-09-24 07:17:48,-21.3585,55.7679,78.35,81,39,12.19
26,Padang,ID,2021-09-24 07:20:46,-0.9492,100.3543,86.05,75,100,5.14
27,Rikitea,PF,2021-09-24 07:16:54,-23.1203,-134.9692,73.89,77,100,19.77
28,Hilo,US,2021-09-24 07:16:12,19.7297,-155.09,73.8,83,1,5.75
29,Bluff,NZ,2021-09-24 07:16:51,-46.6,168.3333,50.81,71,100,9.55
30,Vredendal,ZA,2021-09-24 07:20:47,-31.6683,18.5012,60.04,78,38,1.23
31,Katsuura,JP,2021-09-24 07:19:08,35.1333,140.3,82.51,68,24,10.87
32,Busselton,AU,2021-09-24 07:16:47,-33.65,115.3333,64.09,45,1,8.75
33,Hermanus,ZA,2021-09-24 07:16:56,-34.4187,19.2345,63.81,77,93,8.41
34,Onalaska,US,2021-09-24 07:20:48,43.8844,-91.2351,55.45,93,1,5.75
35,Vestmanna,FO,2021-09-24 07:18:33,62.1564,-7.1664,49.12,93,75,32.21
36,Yellowknife,CA,2021-09-24 07:17:17,62.456,-114.3525,43.32,100,90,6.91
37,Kapaa,US,2021-09-24 07:16:57,22.0752,-159.319,79.12,76,75,5.01
38,Awbari,LY,2021-09-24 07:19:29,26.5921,12.7805,85.28,14,6,4.29
39,Tasiilaq,GL,2021-09-24 07:17:51,65.6145,-37.6368,33.96,76,100,5.41
40,Mataura,NZ,2021-09-24 07:16:54,-46.1927,168.8643,50.49,70,100,2.8
41,Celestun,MX,2021-09-24 07:20:50,20.8667,-90.4,77.11,87,100,4.63
42,Hobart,AU,2021-09-24 07:17:28,-42.8794,147.3294,42.66,82,75,4.0
43,Montepuez,MZ,2021-09-24 07:20:51,-13.1256,38.9997,77.49,51,3,6.87
44,Kahului,US,2021-09-24 07:17:35,20.8947,-156.47,77.02,82,1,13.8
45,Thompson,CA,2021-09-24 07:15:07,55.7435,-97.8558,45.39,89,100,11.52
46,Lompoc,US,2021-09-24 07:20:51,34.6391,-120.4579,57.52,95,90,0.0
47,Micheweni,TZ,2021-09-24 07:20:52,-4.9667,39.8333,80.76,65,11,10.89
48,Rabo De Peixe,PT,2021-09-24 07:20:52,37.8,-25.5833,63.91,82,20,6.91
