City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
294,Huangchuan,CN,80.6,clear sky,32.1272,115.0394,Guangzhou International Hotel
297,Poum,NC,75.61,broken clouds,-20.2333,164.0167,Gîte kajeon
298,Chivacoa,VE,89.83,light rain,10.1603,-68.895,Hotel Fache C.A
300,Khombole,SN,79.61,clear sky,14.7667,-16.7,Keur serigne Mansour Sy
302,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
303,Yulara,AU,78.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
311,Razole,IN,80.89,few clouds,16.4833,81.8333,Sterling Palavelli Godavari
313,Jiazi,CN,85.86,light rain,22.8779,116.067,Hotel Jin Hao
314,Candelaria,PH,85.39,overcast clouds,13.9311,121.4233,Casa de Provincia
317,Labuhan,ID,87.66,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
323,Isla Aguada,MX,84.72,scattered clouds,18.7833,-91.4667,Freedom Shores
324,Douentza,ML,83.75,overcast clouds,14.9951,-2.9517,Ogomono Doumbo
327,Sibolga,ID,78.94,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
330,Kigoma,TZ,77.81,overcast clouds,-4.8769,29.6267,MJI Mwema Lodge
332,Kalmunai,LK,79.14,moderate rain,7.4167,81.8167,VS Villa
333,Rantauprapat,ID,77.99,overcast clouds,2.1,99.8333,Permata Land Hotel & Resort
335,Basco,PH,83.39,light rain,20.4487,121.9702,Nathaniel's Lodge
337,Charters Towers,AU,84.02,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
350,Dhidhdhoo,MV,81.88,moderate rain,6.8833,73.1,Dhidhoo beach
353,Saint Anthony,US,75.13,light rain,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
360,Carnarvon,AU,75.27,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
361,Rincon,US,76.12,scattered clouds,32.296,-81.2354,Days Inn Rincon
362,North Myrtle Beach,US,76.1,light rain,33.816,-78.68,Avista Resort
366,Palu,ID,86.79,light rain,-0.8917,119.8707,Hotel Santika Palu
367,San Patricio,US,82.26,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
371,Nuevo Progreso,MX,80.6,broken clouds,23.1667,-97.95,Balneario Rio el Paraiso
372,Alice Springs,AU,76.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
373,Labelle,US,82.42,clear sky,26.7617,-81.4384,Port LaBelle Inn
378,Batemans Bay,AU,75.2,scattered clouds,-35.7167,150.1833,Batemans Bay Marina Resort
379,Nortelandia,BR,84.67,scattered clouds,-14.4547,-56.8028,Hotel Karysmã
380,Isabela,PH,87.85,few clouds,6.7085,121.9711,Isawad Resort
384,Conceicao Do Araguaia,BR,79.23,broken clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
390,Indramayu,ID,85.46,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
391,Ca Mau,VN,85.87,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
393,Abu Dhabi,AE,86.11,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
394,Along,IN,76.98,broken clouds,28.1667,94.7667,Hotel West
